nama_kos,kecamatan,tipe_penghuni,harga_bulanan,harga_promo,diskon,rating,dilihat,sisa_kamar,daftar_tunggu,n_fasilitas,ada_km_dalam,ada_km_luar,ada_ac,ada_wifi,ada_kasur,ada_lemari,ada_meja,ada_kursi,ada_kloset_duduk,ada_akses_24jam,ada_listrik,ada_kulkas,ada_tv,ada_dapur,sumber,teks_asli
Kost Praja III Tipe A,Sukolilo,Putri,1400000,,,,,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Mamikos,Putri Sisa 1 kamar Kost Praja III Tipe A Kecamatan Sukolilo AC·Akses 24 Jam Rp1.400.000 /bulan
Kost Cendana Standart,Wonokromo,Putri,900000,,,,500,3,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Sisa 3 kamar Kost Cendana Standart Kecamatan Wonokromo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp900.000 /bulan
Kost De Luma Residence Standard,Tenggilis Mejoyo,Campur,1200000,,,,500,,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 500+ kali Campur Kost De Luma Residence Standard Kecamatan Tenggilis Mejoyo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.200.000 /bulan
Kost Manyar Tipe Premium A,Sukolilo,Putri,1300000,,,,,2,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Sisa 2 kamar Kost Manyar Tipe Premium A Sukolilo WiFi·Kloset Duduk·Kasur Rp1.300.000 /bulan
Kost Mono,Sukolilo,Putri,2000000,,,,152,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 152 kali Putri Sisa 1 kamar Kost Mono Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.000.000 /bulan
Kost Holistay 1 Deluxe,Sukolilo,Campur,2300000,,,,180,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 180 kali Campur Sisa 1 kamar Kost Holistay 1 Deluxe Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.300.000 /bulan
Kost Rumah Berkah,Wonokromo,Putri,700000,,,,500,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 500+ kali Putri Sisa 1 kamar Kost Rumah Berkah Wonokromo K. Mandi Dalam·WiFi·Kasur Rp700.000 /bulan
Kost Asiyah 1 Tipe C,Sukolilo,Putri,675000,,,,77,1,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 77 kali Putri Sisa 1 kamar Kost Asiyah 1 Tipe C Kecamatan Sukolilo WiFi·Kloset Duduk·Kasur Rp675.000 /bulan
Kost Bu Dewi Reformasi Tipe A,Tenggilis Mejoyo,Putri,600000,,,,254,1,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 254 kali Putri Sisa 1 kamar Kost Bu Dewi Reformasi Tipe A Tenggilis Mejoyo WiFi·Kasur·Akses 24 Jam Rp600.000 /bulan
Kost Pumpungan IV 25 Deluxe Plus,Sukolilo,Putri,1300000,,,,207,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 207 kali Putri Sisa 1 kamar Kost Pumpungan IV 25 Deluxe Plus Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.300.000 /bulan
Kost Exclusive Graha Cipta Sidosermo Tipe B,Wonocolo,Campur,1702500,,,,304,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 304 kali Campur Sisa 1 kamar Kost Exclusive Graha Cipta Sidosermo Tipe B Kecamatan Wonocolo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.702.500 /bulan
Kost Pumpungan IV Tipe Standar,Sukolilo,Putri,680000,,,,130,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 130 kali Putri Sisa 1 kamar Kost Pumpungan IV Tipe Standar Kecamatan Sukolilo WiFi·Kasur Rp680.000 /bulan
Kost Sidosermo Indah Residence,Wonocolo,Campur,2500000,,,,,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Sisa 1 kamar Kost Sidosermo Indah Residence Wonocolo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.500.000 /bulan
Kost Njt Tipe Eksklusif,Gubeng,Campur,1750000,,,,292,,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 292 kali Campur Kost Njt Tipe Eksklusif Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.750.000 /bulan
Kost Graha Wasana Tipe Eksekutif,Gubeng,Putri,1500010,,,,401,,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 401 kali Putri Kost Graha Wasana Tipe Eksekutif Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.500.010 /bulan
Kost Namira Tipe A,Sukolilo,Putri,1300000,,,5.0,172,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 172 kali Putri Ikut Daftar Tunggu Kost Namira Tipe A Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur 5.0 Rp1.300.000 /bulan
Kost Bhinneka Ngagel Tipe C,Wonokromo,Campur,1400000,,,,198,2,0,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 198 kali Campur Sisa 2 kamar Kost Bhinneka Ngagel Tipe C Kecamatan Wonokromo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Untag Unitomo Tipe A,Sukolilo,Putri,1400000,,,,,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Untag Unitomo Tipe A Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.400.000 /bulan
Kost Semolowaru Praja Tipe B1,Sukolilo,Putri,1400000,,,,,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Semolowaru Praja Tipe B1 Kecamatan Sukolilo WiFi·Kasur Rp1.400.000 /bulan
