nama_kos,kecamatan,tipe_penghuni,harga_bulanan,harga_promo,diskon,rating,dilihat,sisa_kamar,daftar_tunggu,n_fasilitas,ada_km_dalam,ada_km_luar,ada_ac,ada_wifi,ada_kasur,ada_lemari,ada_meja,ada_kursi,ada_kloset_duduk,ada_akses_24jam,ada_listrik,ada_kulkas,ada_tv,ada_dapur,sumber,teks_asli
Kost Exclusive Arya House Tipe Standart,Sukolilo,Putra,1000000,,,,112,2,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 112 kali Putra Sisa 2 kamar Kost Exclusive Arya House Tipe Standart Sukolilo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp1.000.000 /bulan
Kost Lapak Tantri,Wonokromo,Putri,725000,,,,237,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 237 kali Putri Sisa 1 kamar Kost Lapak Tantri Kecamatan Wonokromo WiFi·Kasur Rp725.000 /bulan
Kost Mommy Tipe B,Rungkut,Putra,1400000,,,,65,2,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 65 kali Putra Sisa 2 kamar Kost Mommy Tipe B Kecamatan Rungkut K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Bhinneka Ngagel Tipe B,Wonokromo,Campur,2100000,,,,205,2,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 205 kali Campur Sisa 2 kamar Kost Bhinneka Ngagel Tipe B Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.100.000 /bulan
Kost Sedulur Nginden Tipe Standar,Sukolilo,Putra,1000000,,,,,,0,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putra Kost Sedulur Nginden Tipe Standar Sukolilo WiFi·AC·Kloset Duduk·Kasur Rp1.000.000 /bulan
Kost Bu Lestari,Wonokromo,Putri,1400000,,,5.0,79,1,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 79 kali Putri Sisa 1 kamar Kost Bu Lestari Wonokromo WiFi·Kloset Duduk·Kasur·Akses 24 Jam 5.0 Rp1.400.000 /bulan
Kost Komfee Living,Gubeng,Campur,2200000,,,,173,2,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 173 kali Campur Sisa 2 kamar Kost Komfee Living Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp2.200.000 /bulan
Kost Hakare Bendul Tipe Mezanin,Wonocolo,Campur,2000000,,,,138,3,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 138 kali Campur Sisa 3 kamar Kost Hakare Bendul Tipe Mezanin Kecamatan Wonocolo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.000.000 /bulan
Kost Ngagel Krukah Bratang,Wonokromo,Putri,750000,,,,131,2,0,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 131 kali Putri Sisa 2 kamar Kost Ngagel Krukah Bratang Kecamatan Wonokromo WiFi·Kasur·Akses 24 Jam Rp750.000 /bulan
Kost Suma Tipe B,Wonokromo,Putri,1100000,,,,183,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 183 kali Putri Sisa 1 kamar Kost Suma Tipe B Kecamatan Wonokromo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.100.000 /bulan
Kost Pink Nginden Tipe Non Ac,Sukolilo,Putri,750000,,,,150,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 150 kali Putri Sisa 1 kamar Kost Pink Nginden Tipe Non Ac Kecamatan Sukolilo WiFi·Kasur Rp750.000 /bulan
Kost JS 12,Wonokromo,Putra,600000,,,,215,1,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 215 kali Putra Sisa 1 kamar Kost JS 12 Wonokromo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp600.000 /bulan
Kost Lazarus Eksekutif,Sukolilo,Putri,1500000,,,,158,,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 158 kali Putri Kost Lazarus Eksekutif Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.500.000 /bulan
Kost Palma VVIP,Wonokromo,Campur,1600000,,,,306,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 306 kali Campur Sisa 1 kamar Kost Palma VVIP Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.600.000 /bulan
Kost Ngagel Mulya,Wonokromo,Putra,750000,,,,500,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 500+ kali Putra Sisa 1 kamar Kost Ngagel Mulya Wonokromo Kloset Duduk·Kasur Rp750.000 /bulan
Kost Rafiasha,Sukolilo,Putri,800000,,,,,3,0,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Sisa 3 kamar Kost Rafiasha Sukolilo WiFi·Kloset Duduk·Kasur Rp800.000 /bulan
Kost Pink Nginden II Tipe Ac,Sukolilo,Putri,900000,,,,77,1,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 77 kali Putri Sisa 1 kamar Kost Pink Nginden II Tipe Ac Kecamatan Sukolilo WiFi·AC·Kasur Rp900.000 /bulan
Kost Talia Tipe A,Gubeng,Putri,900000,,,,155,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 155 kali Putri Sisa 1 kamar Kost Talia Tipe A Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp900.000 /bulan
Kost Hosana Tipe Ac,Wonokromo,Putri,1800000,,,5.0,167,2,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 167 kali Putri Sisa 2 kamar Kost Hosana Tipe Ac Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur 5.0 Rp1.800.000 /bulan
Kost Talia Tipe B,Gubeng,Putri,925000,,,,61,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 61 kali Putri Sisa 1 kamar Kost Talia Tipe B Gubeng WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp925.000 /bulan
Kost Z Stay Tipe B,Wonokromo,Campur,1700123,,,,271,1,0,5,1,0,1,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 271 kali Campur Sisa 1 kamar Kost Z Stay Tipe B Wonokromo K. Mandi Dalam·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.700.123 /bulan
Kost 3 Tingkat Tertib Bersih Nginden Tipe A,Sukolilo,Campur,803000,,,,135,,0,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 135 kali Campur Kost 3 Tingkat Tertib Bersih Nginden Tipe A Sukolilo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp803.000 /bulan
Kost Misdi Ceria Tipe A,Gubeng,Putri,800000,,,,372,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 372 kali Putri Sisa 2 kamar Kost Misdi Ceria Tipe A Kecamatan Gubeng WiFi·Kasur Rp800.000 /bulan
Kost Bu Tutik Bratang,Gubeng,Putri,700000,,,,308,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 308 kali Putri Sisa 2 kamar Kost Bu Tutik Bratang Gubeng Kasur Rp700.000 /bulan
Kost Hakare Bendul Tipe Standar 1,Wonocolo,Campur,2300000,,,,,1,0,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Campur Sisa 1 kamar Kost Hakare Bendul Tipe Standar 1 Kecamatan Wonocolo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp2.300.000 /bulan
Kost Raudhah In,Wonokromo,Putri,1500000,,,,268,1,0,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 268 kali Putri Sisa 1 kamar Kost Raudhah In Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp1.500.000 /bulan
Kost Raudhah In Tipe Lantai 1,Wonokromo,Putri,1500000,,,,338,1,0,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 338 kali Putri Sisa 1 kamar Kost Raudhah In Tipe Lantai 1 Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.500.000 /bulan
Kost Krukah,Wonokromo,Putra,700000,,,,,,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Krukah Wonokromo WiFi·Kasur·Akses 24 Jam Rp700.000 /bulan
Kost Jl Ngagel Jaya Tengah Tipe C,Gubeng,Campur,1000000,,,,194,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 194 kali Campur Ikut Daftar Tunggu Kost Jl Ngagel Jaya Tengah Tipe C Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.000.000 /bulan
Kost Siti Zubaidah Tipe A,Sukolilo,Putri,450000,,,,288,,1,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 288 kali Putri Ikut Daftar Tunggu Kost Siti Zubaidah Tipe A Kecamatan Sukolilo WiFi·Kasur·Akses 24 Jam Rp450.000 /bulan
Kost Asri Tipe Standar,Gubeng,Putri,700000,,,,137,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 137 kali Putri Ikut Daftar Tunggu Kost Asri Tipe Standar Gubeng WiFi·Kasur Rp700.000 /bulan
Kost Griya Wigu 1,Wonokromo,Putri,1750000,,,,101,,1,5,1,0,1,1,1,0,0,0,0,1,0,0,0,0,Mamikos,Dilihat 101 kali Putri Ikut Daftar Tunggu Kost Griya Wigu 1 Wonokromo K. Mandi Dalam·WiFi·AC·Kasur·Akses 24 Jam Rp1.750.000 /bulan
Kost Minimalist Tipe C,Sukolilo,Putri,650000,,,,,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Minimalist Tipe C Kecamatan Sukolilo WiFi·Kasur Rp650.000 /bulan
Kost Desta Tipe Standart,Wonokromo,Putra,650000,,,,443,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mamikos,Dilihat 443 kali Putra Ikut Daftar Tunggu Kost Desta Tipe Standart Wonokromo Kasur Rp650.000 /bulan
Kost Sidosermo,Wonocolo,Putra,1050000,,,,167,,1,4,1,0,0,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 167 kali Putra Ikut Daftar Tunggu Kost Sidosermo Kecamatan Wonocolo K. Mandi Dalam·Kloset Duduk·Kasur·Akses 24 Jam Rp1.050.000 /bulan
Kost Tutik Mirawati Tipe A,Sukolilo,Putra,700000,,,5.0,86,,1,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 86 kali Putra Ikut Daftar Tunggu Kost Tutik Mirawati Tipe A Kecamatan Sukolilo WiFi·Kloset Duduk·Kasur·Akses 24 Jam 5.0 Rp700.000 /bulan
Kost Haifa Manyar Indah,Sukolilo,Putri,1600000,,,,,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Haifa Manyar Indah Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.600.000 /bulan
Kost Achmad Raihan Tipe Non Ac,Wonokromo,Putra,650000,,,,340,,1,4,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Dilihat 340 kali Putra Ikut Daftar Tunggu Kost Achmad Raihan Tipe Non Ac Wonokromo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur Rp650.000 /bulan
Kost Zstay,Wonokromo,Campur,1900000,,,,121,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 121 kali Campur Ikut Daftar Tunggu Kost Zstay Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.900.000 /bulan
Kost Minimalist Tipe D,Sukolilo,Putri,625000,,,,,,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Minimalist Tipe D Kecamatan Sukolilo WiFi·Kasur Rp625.000 /bulan
Kost Nestay Living Deluxe,Sukolilo,Putri,2300000,,,,,,1,5,1,0,1,1,1,0,0,0,1,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Nestay Living Deluxe Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur Rp2.300.000 /bulan
Kost Bhinneka Ngagel Tipe A Non Ac,Wonokromo,Campur,1400000,,,,204,,1,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 204 kali Campur Ikut Daftar Tunggu Kost Bhinneka Ngagel Tipe A Non Ac Kecamatan Wonokromo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Cemerlang,Sukolilo,Putri,1520000,,,,73,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 73 kali Putri Ikut Daftar Tunggu Kost Cemerlang Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.520.000 /bulan
Kost Beth Tipe A,Wonokromo,Putra,1500000,,,,76,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 76 kali Putra Ikut Daftar Tunggu Kost Beth Tipe A Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.500.000 /bulan
Kost Ekslusif Manyar Rejo,Sukolilo,Campur,1750000,,,,130,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 130 kali Campur Ikut Daftar Tunggu Kost Ekslusif Manyar Rejo Sukolilo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.750.000 /bulan
Kost Unitomo Untag Premier Tipe A,Sukolilo,Putri,550000,,,,71,,1,4,0,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 71 kali Putri Ikut Daftar Tunggu Kost Unitomo Untag Premier Tipe A Sukolilo WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp550.000 /bulan
Kost Z Stay Tipe A,Wonokromo,Campur,1700000,,,,111,,1,5,1,0,1,0,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 111 kali Campur Ikut Daftar Tunggu Kost Z Stay Tipe A Wonokromo K. Mandi Dalam·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.700.000 /bulan
Kost Beth Tipe C,Wonokromo,Putra,1200000,,,,,,1,5,1,0,1,1,0,0,0,0,1,1,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Beth Tipe C Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Akses 24 Jam Rp1.200.000 /bulan
Kost Ami Eksklusif,Gubeng,Putri,1100000,,,,282,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 282 kali Putri Ikut Daftar Tunggu Kost Ami Eksklusif Kecamatan Gubeng K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.100.000 /bulan
Kost Cemerlang Manyar Indah 1,Sukolilo,Putri,1500000,,,,,,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Cemerlang Manyar Indah 1 Kecamatan Sukolilo K. Mandi Dalam·WiFi·AC Rp1.500.000 /bulan
Kost Beth Tipe B,Wonokromo,Putra,1400000,,,,,,1,6,1,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putra Ikut Daftar Tunggu Kost Beth Tipe B Kecamatan Wonokromo K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.400.000 /bulan
Kost Suma Tipe Balkon,Wonokromo,Putri,1500000,,,,,,1,5,0,0,1,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Suma Tipe Balkon Kecamatan Wonokromo WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam Rp1.500.000 /bulan
Kost Minimalist Tipe A,Sukolilo,Putri,1100000,,,,,,1,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,Mamikos,Putri Ikut Daftar Tunggu Kost Minimalist Tipe A Kecamatan Sukolilo WiFi·AC·Kasur Rp1.100.000 /bulan
Kost Achmad 1 Tipe Standar Non Ac,Wonocolo,Putra,800000,,,,500,,1,5,1,0,0,1,1,0,0,0,1,1,0,0,0,0,Mamikos,Dilihat 500+ kali Putra Ikut Daftar Tunggu Kost Achmad 1 Tipe Standar Non Ac Wonocolo K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam Rp800.000 /bulan
